article_number,article_name,category
4011,Banan Chiquita,
13800,Frukt & Grönt,
7350041427278,Färsk Salsiccia,
4016241050533,Kvarg hallon 0.2%,
7350041427407,Kycklingkorv,
7310532112236,*Linschips Sourcrea,
7318690137870,Lättkvarg Natur LF,
7318690490005,Ravioli svamp,
7318690115144,Standardmjölk 3%,
7318690490081,Tort soltor tomat,
4016241050540,Kvarg blåbär,
4016241050526,Kvarg vanilj 0.2%,
7300327552002,Kycklingköttbullar,
7311070008159,Levain,
2330078600000,Lövbiff,
7350002402658,*Feta,
4833,Färskpotatis,
7318690046905,ICA Bad&Toa 6-p,
7318690185611,I love ECO bacon,
2330076900000,Nötstek,
7392964301242,Ägg Frigående 6-pac,
5060337508988,*Energi Lewis Hamil,
2319177500000,Fransyska BBQ,
7318690491750,Lättkvarg Blå/Van,
7350025545554,Rökt skinka,
7318690497165,Äggnudlar,
7300300036642,Nötfärs,
7311310031039,Taco Spice Mix,
7392964158938,Ägg 15-pack frigåe,
7350115902045,Guacamole,
7350021421852,*Peanutbutter cream,
6430064403372,Tuttifrutti,
7300208345006,Bacon sk Scan 140g,
7300300037793,Nötfärs,
7318690046097,Hamburgare Bacon,
7318690002109,Kebabspett,
7310867548663,Kvarg vanilj Lfri,
7340063013702,Lammkorv,
7311070008494,*LantGoda,
7350022560826,Makrill 3-pack,
2330096100000,Nötfärs 12%,
2325214600000,Prästost,
7332205300108,Smått & gott potati,
5000112654417,*Zero Lime,
5000112645934,*Zero Vanilla ÅP,
7311311004537,Bikarbonat,
7300400482547,*Chocolate Chunks,
7318690140436,Creme Fraiche,
7300400482530,*Dark Chocolate,
9020,*Munkar,
9010,*Ringmunk,
7318690050995,*Torti chips chili,
7318690050988,*Tortil chips natur,
7350011741755,Vitlöksbaguetter,
7320020003427,Wienerkorv,
7318690081999,Bomullspads,
7318690161585,Bomullspinnar,
7313940580024,Chicken Kebab,
8718531852099,Citroner i nät,
2340386300000,Grevé 28% 12 mån,
7350126083191,X-tra allt Cheesy,
8714801410785,Am choco pannkakor,
7300209556005,Färskkorv Kolbasz,
8711200454471,*Klipp Iste Pe 50g,
7350011742042,Kycklingkebab,
7318690038979,*Nacho Chips,
7310520009326,*Original kakor,
7300201361003,Panbiff,
8001200024119,Penne agnesi,
7318690051008,*Torti chips ost,
3046920029674,*Excellence Havssal,
7311070003567,*Hönö Jollekaka,
7313940012648,Paneng red curry,
4000388179004,*Dove Tvål 500ml,
7318690069133,ICA Mat&kök 4-p,
7350035210114,*Nudlar Biff,
7350035210107,*Nudlar Kyckling,
7350035210152,*Nudlar Svamp,
5000209216511,*Colgate Tandb 1p,
7310401046723,*Läsk,
7318693325106,*Morot nyskördade,
7313940012617,Sweet chili kyckl.,
8718951312531,Tandkr Sens White,
7318690102861,Ägg frigående S,
7318690494447,A-fil+,
5449000133328,*Coca-Cola zero,
7350027794929,Fiori,
7300201949003,Kabanoss Ízletes,
9013,Vetelängder,
8712566101979,Big Milk Choklad,
2,Bärkasse papper,
2307127300000,Kycklfilébricka,
2307128400000,Lårfilé CriollaBBQ,
4005808222933,Nivea Rakgel 200ml,
7310130010866,Pannkakor,
7318690140276,Sirap ljus,
7340005406449,*chips Tryffelmajon,
2372786800000,Flapstek,
4100290025083,Iskaffe Latte,
7310867548656,Kvarg Hallon,
2307125100000,Mar tvådelad grill,
7340012503216,Salsiccia Naturell,
7310731102021,*Stockholm B.kaffe,
7318690085423,Aluminiumfolie,
7318690482222,*Basmatiris,
8717677336654,Choklad Ljus Karam,
7340005406050,*Delichips Bryntsmö,
7318690081609,Gouda i skivor,
5707381019298,*Jordn.smör Creamy,
7318690052678,Smör Normalsaltat,
7310130321122,AXA Havregryn,
8717677336630,Choklad Ljus Nouga,
7350028544905,*Swebar Päronglass,
2386136000000,Entrecoté,
7350041427292,Färsk Nötkorv,
7318690101154,Kulörtvätt,
7331398010016,Morötter i påse,
7311171008300,Musslor i vatten,
7350045594952,*Potchips Backy BBQ,
7310090755692,Risgröt Felix,
5056357900697,Soft Centres Cooki,
7311311004445,Svartpeppar Hel,
7318690501992,Tonfisk i vatten,
8714801411485,Amer banan pannkak,
8076800195019,Capellini,
7613287184337,*Flat White,
2307116100000,Kycklingbröstfilé,
6430048448061,Mandarin Yoghurt Ch,
8445290183965,*Salted Crml Mocha,
7311310032036,Tortilla Chips Che,
2328029300000,Hel lax,
2330068800000,Nötfärs,
7318690013402,*Tomater krossade,
7350136170003,Energituggummi,
5000112645941,*Läsk Vanilla,
5000112654400,*Zero Lime,
7313130180621,*Avfallspåse,
7310186023650,Friggs Ört-Te 25p,
8711327502611,Glasspinne Ban/Car,
7311810080216,Kooh-Norr Ceylonte,
7318690105909,*Tomater f.kr basil,
7318690178941,Vätskeersätt Sport,
7310760510149,Äppellund grönt te,
7310731101574,*Kaffe Fikastund BR,
2307124100000,kycklingben,
7310867501286,Lantmjölk Gammalda,
7310500184180,Tagliatell Chicken,
40111216,*Chokladbit Bounty,
8711327462915,Clovves Chokl/Kola,
5000159461122,*Godis Snickers50g,
5000159459228,*Godis Twix50g,
7310350134601,*Gröna Bilar,
7313940011801,Kycklinginnerfilé,
2328012800000,Nötfärs 12%,
7318690105923,*Tomater f.kr vitlö,
7318690080091,Wokgrönsaker,
7318690042198,Hamburgare origin,
2307135200000,Kycklinglårfilé,
7311312005878,Naan Bread Garlic,
73150244,Vätskeer Hallon br,
7318690498261,Flytande Honung,
7392672001410,Grekisk yogh eko,
7318690146490,Jordgubbssylt,
7318690144618,Pizza Capricciosa,
7340073300168,ProV Blåbär,
7318690502036,Juice äp/mo/in/ci,
7318690082552,Vitlöksbaguette,
7313940027116,Chicken sticks,
5060166694777,*Energidryck B,
2319221800000,*Flankstek vac Sv,
8711327462755,GamVanilj Hall/Blå,
7311070006209,*Gifflar Kanel,
7350025545561,Kokt skinka,
9014,*Lussekatt,
7350002404546,*Mezze Maniche,
7350017802108,*Morötter 1kg,
7350002404577,*Tortiglioni,
7310130321085,AXA Havregryn,
6408432000003,Dipp Sour cream,
4015600444419,Diskmedel original,
7392672004039,Kvarg Blåbär/Vanil,
8711000537527,Milea,
2319103300000,Nötfärs 12%,
7391704800144,Wettex 4p,
2307122200000,Mannerström 2-del,
2307117800000,Mästerkycklingfilé,
2372729700000,Entrecoté,
7350028548460,*Gainomax apple,
2340418100000,Herrgård 28% mi,
7318690028819,*Majskorn,
7310050001142,*Mellanrost Brygg,
4688,Paprika Röd,
7393853141109,Syrad rödkål,
7310350109906,*Bilar Original,
5060335635716,*Energidryck Ultra,
2320763300000,Kalvstek,
80053828,*Olivolja Classico,
7312060502152,Vit choklad Hallon,
7311310026745,*Chicken & Steak Kv,
7311310026752,*Chili Explos. Kv,
7318690131175,Finmald Lammfärs,
7311631524128,Finsalt m jod burk,
7300209458002,Färskkorv Chorizo,
7311310026806,*Tellicherry Peppar,
7350028543762,*Tu majsk Chia/havs,
7310751101066,*Jasminris,
2307139100000,Majslårfilé 8-pack,
8076809580861,*Mezzi Rigatoni Al,
7350036730031,Morot,
7393853161107,Syrad Borsjtj,
7318690058939,Ärter med fläsk,
7622300336738,*Cookies,
7312690201296,Tomte Pepparkakshu,
7311070008180,Gourm Hamburgerbr,
7318690099871,Hamburgare chili,
4082,Lök röd,
7318690093084,Risgrynsgröt,
6408432061233,Smör normalsaltat,
73150220,Vätskeer Apels bru,
9033,*chokladcroissant,
2357611800000,Entrecote,
9035,*Estellefläta,
7318690186137,*Potatis mjölig,
9007,*Wienerbröd,
7318690128847,Blåbär odlade,
5701092111067,Fläckbort white go,
2385034200000,Granarolo,
4666,Gul lök ICA,
7318690034308,Havregryn,
7318690101185,Vittvätt pulver,
7318690038559,*Äggnudlar,
3264,Lök vit Morado ICA,
8711327370753,Topped SaltCaramBr,
7318690081678,Handtvål mandelblo,
7311312005298,Oyster Sauce,
7313940012907,Strimlad lårfile,
8713807005636,AVOKADO I NÄT,
7318690502050,Juice äp/kiw/an/sp,
7313940011856,Majsinnerfilé,
4806,Tomater,
7310063743091,Ägg frig xtra stor,
7310090752691,Ärter m fläsk Feli,
7318690107071,*ICA God Ostkaka,
2307136100000,Kycklinglårfilé,
7318690054740,Paprika,
7332462077270,Stekspade,
2319151000000,Ungnötslever ICA,
7318690013556,Ägg 6p Eko/Krav L,
20462062,AVOKADO I NÄT,
6111258213655,Babyplommontomater,
2354861600000,Bacon ojämna skivor,
5903424662029,Champinjoner i ask,
7310760012919,Classic Svea Elbry,
5000112637991,*Cola Läsk Cherry,
8719200191624,Färskost Naturell,
7313940012679,strimlad kyckling,
7310186023551,Ört te-Kvällsro,
7310521053106,*Brago original,
7340063010404,Bratwurst,
7318690185567,Fettuccine tomat,
7311631530006,Flingsalt m Jod,
7318690143697,Körsbärstomat,
7613032873691,Nescafe Original,
7392672000468,Rysk yoghurt 17%.,
7310610018078,*Tvål Tall Ringblom,
6917986800675,Vitlök 250g,
7318690185369,Äppelmos,
7310070151209,*Apot Julmust 1.4l,
7310070151308,*Apot Julmust L 1.4,
7340005406029,*Delichips Cheddar,
5701073064139,*Kristyr rosa,
5701073064122,*Kristyr vit,
7312220235630,Pepparkakshus,
7318690491279,*Guacamole topping,
3254,Gurka styck,
7318690035879,*ICA Vetetortillas,
4682,Paprika Orange,
7318690117261,Riven ost,
7318690035862,Tacoskal 12 st,
7318690069348,*Tacosås medium,
7318690069331,*Tacosås mild,
8711000678657,*Farmers Brazil,
7318690185536,Fettuccine naturel,
7318690146858,Minichorizo Hot,
7300207702008,Prinskorv jul Scan,
2320751300000,Rostbiff i bit,
11210007253,Tabasco vitlök,
7300207769001,Tjock grillkorv,
80042525,Tomatpuré trippel,
7392964157436,Ägg 15-pack 750 g,
5449000137494,*Coca-Cola Zero 4p,
9002490215415,*Energy Drink sf,
7318690164333,*Kaffefilt vita 1x4,
9900,Kartong Monst shot,
7318690106593,Ägg M/L,
4048,*Lime,
7318690161981,Nötfärs 12%,
2319312200000,Ryggbiff mörmarin.,
8711327374607,Coconutterly Cara,
7310960042716,Hamburgare 180g,
6111259870055,Körsbärstomat i ask,
7350037195150,Lammkorv,
2319261200000,Minutbiff,
9011,*Muffins,
4834,Potatis fast,
7315360061503,*Delicatoboll 6-p,
2330071900000,Entrecôte,
2328010100000,Nötfärs 20%,
7350002400333,Olivolja classico,
7311310035341,*Teriyaki Sauce,
5903240555017,Champinjoner i ask,
7310060005154,Frigående M-L,
8722700132523,Glass Sandwich 6-p,
7318690166771,*Pannkakor,
7318690136170,*Taco kryddmix,
7318690081173,Basmati ris,
2372723500000,Nötstek nätad,
7350002405192,Olivolja Novello,
6970373280030,Vitlök nät,
2320019600000,B-Fransyska skin,
3182,*Citron ICA,
2340375300000,Hushållsost 26%,
7318690050919,*Kikärtor,
7318690079873,Mozzarella,
7310861040859,*Protein Bar Bluebe,
