receipt_number,datetime
1,2022-07-02 16:46:00
2,2022-07-05 19:41:00
3,2022-07-08 16:03:00
4,2022-07-13 18:44:00
5,2022-07-17 22:13:00
6,2022-07-20 22:18:00
7,2022-07-23 22:37:00
8,2022-07-26 19:19:00
9,2022-07-29 15:46:00
10,2022-08-02 22:39:00
11,2022-08-05 22:38:00
12,2022-08-09 20:33:00
13,2022-08-13 16:26:00
14,2022-08-14 12:19:00
15,2022-08-17 21:56:00
16,2022-08-19 17:16:00
17,2022-08-24 23:10:00
18,2022-08-31 21:15:00
19,2022-09-04 22:32:00
20,2022-09-07 17:35:00
21,2022-09-09 15:31:00
22,2022-09-14 19:50:00
23,2022-09-15 18:42:00
24,2022-09-19 23:22:00
25,2022-09-22 21:07:00
26,2022-09-27 15:11:00
27,2022-09-30 13:33:00
28,2022-10-04 14:10:00
29,2022-10-05 20:58:00
30,2022-10-09 16:38:00
31,2022-10-13 11:25:00
32,2022-10-16 21:45:00
33,2022-10-20 18:42:00
34,2022-10-27 13:21:00
35,2022-10-30 23:05:00
36,2022-11-01 23:06:00
37,2022-11-09 20:09:00
38,2022-11-11 18:40:00
39,2022-11-16 20:21:00
40,2022-11-18 17:11:00
41,2022-11-21 13:48:00
42,2022-11-23 16:23:00
43,2022-11-26 16:49:00
44,2022-11-29 19:29:00
45,2022-12-05 13:44:00
46,2022-12-09 11:36:00
47,2022-12-15 19:47:00
48,2022-12-19 23:08:00
49,2022-12-20 20:46:00
50,2022-12-22 16:17:00
51,2022-12-26 20:54:00
52,2022-12-29 18:29:00
53,2023-01-13 15:52:00
54,2023-01-16 17:38:00
55,2023-01-19 15:37:00
56,2023-01-23 19:38:00
57,2023-01-27 23:32:00
58,2023-01-31 22:22:00
59,2023-02-04 13:09:00
60,2023-02-08 22:36:00
61,2023-02-14 13:54:00
62,2023-02-15 21:37:00
63,2023-02-21 21:33:00
64,2023-02-24 22:19:00
65,2023-02-25 20:07:00
66,2023-02-28 13:21:00
67,2023-03-09 17:31:00
68,2023-03-13 20:48:00
69,2023-03-17 13:29:00
70,2023-03-20 18:13:00
71,2023-03-21 20:15:00
72,2023-03-27 16:53:00
73,2023-03-31 18:32:00
74,2023-04-05 15:22:00
75,2023-04-09 16:56:00
76,2023-04-11 20:50:00
77,2023-04-13 20:31:00
78,2023-04-14 22:15:00
79,2023-04-17 22:35:00
80,2023-04-19 16:07:00
81,2023-04-20 20:55:00
82,2023-04-25 11:18:00
83,2023-04-27 16:03:00
84,2023-05-02 21:38:00
85,2023-05-05 16:51:00
86,2023-05-11 20:21:00
87,2023-05-16 17:45:00
88,2023-05-19 18:23:00
89,2023-05-25 22:26:00
90,2023-05-28 14:35:00
91,2023-05-30 20:08:00
92,2023-06-03 16:00:00
93,2023-06-07 21:57:00
94,2023-06-14 13:43:00
95,2023-06-14 21:03:00
96,2023-06-18 21:29:00
97,2023-06-19 19:26:00
98,2023-06-21 17:20:00
99,2023-07-03 14:57:00
