receipt_number,item_name,item_id,unit_price,quantity,unit,pre_discount_sum
1,Banan Chiquita,4011,24.9,0.51,kg,12.57
1,Frukt & Grönt,13800,20.0,1.0,st,20.0
1,Färsk Salsiccia,7350041427278,21.9,1.0,st,21.9
1,Kvarg hallon 0.2%,4016241050533,29.9,1.0,st,29.9
1,Kycklingkorv,7350041427407,19.9,1.0,st,19.9
1,Linschips Sourcrea,7310532112236,11.0,1.0,st,20.9
1,Lättkvarg Natur LF,7318690137870,10.0,4.0,st,40.0
1,Ravioli svamp,7318690490005,16.9,2.0,st,33.8
1,Standardmjölk 3%,7318690115144,11.9,2.0,st,23.8
1,Tort soltor tomat,7318690490081,16.9,1.0,st,16.9
2,Kvarg blåbär,4016241050540,29.9,1.0,st,29.9
2,Kvarg vanilj 0.2%,4016241050526,29.9,1.0,st,29.9
2,Kycklingköttbullar,7300327552002,55.9,1.0,st,55.9
2,Levain,7311070008159,39.9,1.0,st,39.9
2,Lövbiff,2330078600000,99.0,0.5,kg,49.7
2,Standardmjölk 3%,7318690115144,12.9,1.0,st,12.9
3,Banan Chiquita,4011,24.9,0.56,kg,13.82
3,Feta,7350002402658,15.0,1.0,st,24.9
3,Färskpotatis,4833,7.9,0.99,kg,7.82
3,ICA Bad&Toa 6-p,7318690046905,32.9,1.0,st,32.9
3,I love ECO bacon,7318690185611,12.9,2.0,st,25.8
3,Kvarg blåbär,4016241050540,29.9,1.0,st,29.9
3,Kvarg hallon 0.2%,4016241050533,29.9,1.0,st,29.9
3,Nötstek,2330076900000,79.0,0.96,kg,76.0
3,Standardmjölk 3%,7318690115144,12.9,1.0,st,12.9
3,Ägg Frigående 6-pac,7392964301242,11.0,1.0,st,11.0
4,Energi Lewis Hamil,5060337508988,11.0,1.0,st,19.9
4,Fransyska BBQ,2319177500000,84.9,0.81,kg,68.77
4,I love ECO bacon,7318690185611,12.9,1.0,st,12.9
4,Lättkvarg Blå/Van,7318690491750,11.0,6.0,st,66.0
4,Rökt skinka,7350025545554,12.0,1.0,st,12.0
4,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
4,Äggnudlar,7318690497165,10.0,1.0,st,10.0
5,I love ECO bacon,7318690185611,12.9,1.0,st,12.9
5,Nötfärs,7300300036642,45.0,2.0,st,90.0
5,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
5,Taco Spice Mix,7311310031039,24.9,1.0,st,24.9
5,Ägg 15-pack frigåe,7392964158938,42.9,1.0,st,42.9
6,Banan Chiquita,4011,24.9,0.9,kg,22.41
6,Guacamole,7350115902045,21.9,1.0,st,21.9
6,Kvarg hallon 0.2%,4016241050533,39.9,1.0,st,39.9
6,Peanutbutter cream,7350021421852,21.9,1.0,st,37.9
6,Standardmjölk 3%,7318690115144,12.9,3.0,st,38.7
6,Tuttifrutti,6430064403372,19.9,1.0,st,19.9
7,Bacon sk Scan 140g,7300208345006,10.0,1.0,st,10.0
7,Kvarg hallon 0.2%,4016241050533,39.9,1.0,st,39.9
7,Nötfärs,7300300037793,45.0,1.0,st,45.0
7,Standardmjölk 3%,7318690115144,12.9,3.0,st,38.7
8,Banan Chiquita,4011,24.9,0.48,kg,12.08
8,Hamburgare Bacon,7318690046097,29.9,1.0,st,29.9
8,Kebabspett,7318690002109,29.9,1.0,st,29.9
8,Kvarg vanilj Lfri,7310867548663,14.9,3.0,st,44.7
8,Lammkorv,7340063013702,24.9,1.0,st,24.9
8,LantGoda,7311070008494,19.9,1.0,st,34.9
8,Makrill 3-pack,7350022560826,29.9,1.0,st,29.9
8,Nötfärs 12%,2330096100000,89.0,1.01,kg,89.98
8,Prästost,2325214600000,69.9,0.7,kg,49.14
8,Smått & gott potati,7332205300108,12.0,1.0,st,12.0
8,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
8,Zero Lime,5000112654417,7.9,2.0,st,31.8
8,Zero Vanilla ÅP,5000112645934,7.9,2.0,st,31.8
9,Bacon sk Scan 140g,7300208345006,10.0,1.0,st,10.0
9,Banan Chiquita,4011,24.9,0.34,kg,8.59
9,Bikarbonat,7311311004537,9.9,1.0,st,9.9
9,Chocolate Chunks,7300400482547,12.5,1.0,st,22.9
9,Creme Fraiche,7318690140436,34.9,1.0,st,34.9
9,Dark Chocolate,7300400482530,12.5,1.0,st,22.9
9,Guacamole,7350115902045,21.9,1.0,st,21.9
9,Munkar,9020,8.33,1.0,st,8.9
9,Ringmunk,9010,8.34,2.0,st,17.8
9,Standardmjölk 3%,7318690115144,12.9,2.0,st,25.8
9,Torti chips chili,7318690050995,12.5,1.0,st,14.9
9,Tortil chips natur,7318690050988,12.5,1.0,st,14.9
9,Vitlöksbaguetter,7350011741755,17.9,1.0,st,17.9
9,Wienerkorv,7320020003427,21.9,1.0,st,21.9
10,Banan Chiquita,4011,24.9,0.81,kg,20.29
10,Bomullspads,7318690081999,8.9,1.0,st,8.9
10,Bomullspinnar,7318690161585,15.9,1.0,st,15.9
10,Chicken Kebab,7313940580024,41.9,1.0,st,41.9
